English,German,Additional German,Additional German,Additional German,Type,Season
baking powder,Backpulver,,,,Additive,-
basil,Basilikum,,,,Herb,-
rice,Reis,Basmati,Naturreis,Langkorn,Rice,-
,Bratwürste,Bauernbratwürste,,,Sausage,-
broth,Brühe,,,,Soup,-
butter,Butter,,,,Dairy,-
chili,Chili,Chilischoten,Chiliflocken,,Seasoning,-
egg,Ei,Eier,Eigelb,,Egg,-
enoki,Enoki,,,,Mushroom,?
scallion,Frühlingszwiebeln,,,,Vegetable,
chicken stock,Geflügelbrühe,Hühnersuppe,Hühnerbrühe,,Soup,-
vegetable stock,Gemüsebrühe,Gemüßesuppe,,,Soup,-
ghee,Ghee,Butterfett,Butterschmalz,,Dairy,-
kale,Grünkohl,,,,Vegetable,
habanero,Habanero,,,,Vegetable,
oatmeal,Haferflocken,,,,Cereal,-
chicken breast,Hähnchenfleisch,Hähnchenbrustfilet,Hähnchenbrust,,Meat,-
ginger,Ingwer,,,,Vegetable,?
carrot,Karotten,,,,Vegetable,
carrot green,Karottengrün,,,,Vegetable,
potatoe,Kartoffeln,Erdäpfel,,,Vegetable,
chickpeas,Kichererbsen,,,,Vegetable,
garlic,Knoblauch,Knoblauchzehe,Knoblauchzehen,,Vegetable,
cheese,Käse,,,,Dairy,
caraway,Kümmel,,,,Seasoning,
leek,Lauch,Porree,,,Vegetable,
almond,Mandeln,Mandel,Rauchmandeln,,Nut,
margarine,Margarine,,,,Dairy,
flour,Mehl,Spätzlemehl,,,Cereal,
saussage ends,Mettenden,,,,Sausage,
milk,Milch,,,,Dairy,
miso paste,Misopaste,,,,Seasoning,
nutmeg,Muskat,,,,Seasoning,
yoghurt,Naturjoghurt,Joghurt,,,Dairy,
noudles,Nudeln,Nudel,,,Noudles,
olive oil,Olivenöl,,,,Oil,
orange juice,Orangensaft,,,,Juice,
paprica powder,Paprikagewürz,Paprikapulver,,,Seasoning,
parmesan,Parmesan,Hartkäse,,,Dairy,
pecorino,Pecorino,,,,Dairy,
penne,Penne,,,,Noudles,
parsley,Petersilie,,,,Herb,
pepper,Pfeffer,,,,Seasoning,
chanterelle,Pfifferlinge,Eierschwammerl,,,Mushroom,
fungi,Pilze,Pilz,Schwammerl,,Mushroom,
cream,Rahm,Sahne,,,Dairy,
ramen noudles,Ramen Nudeln,,,,Noudles,
rape,Raps,,,,Cereal,
rice wine,Reiswein,,,,Alcohol,
rosemary,Rosmarin,,,,Herb,
smoked sausage,Räucherwurst,,,,Sausage,
salt,Salz,,,,Seasoning,
chives,Schnittlauch,,,,Herb,
bread dumpling bread,Semmelknödelbrot,,,,Bread,
,Semmeln,Brötchen,,,Bread,
sesamum oil,Sesamöl,,,,Oil,
sherry,Sherry,,,,Alcohol,-
shiitake,Shiitake,,,,Mushroom,?
soja souce,Sojasauce,,,,Seasoning,-
soja sprouts,Sojasprossen,,,,Vegetable,?
sunnflower oil,Sonnenblumenöl,,,,Oil,-
spinach,Spinat,,,,Vegetable,
yellow boletuses,Steinpilze,Steinpilz,,,Mushroom,
sultanas,Sultaninen,Rosinen,,,Fruit,
oil,Öl,,,,Oil,
tahini,Tahin,Seesampaste,,,Seasoning,
yeast,Hefe,Germ,Trockenhefe,Trockengerm,Additive,-
water,Wasser,Kochwasser,,,,-
wheat flour,Weizenmehl,,,,Flour,-
wok noudle,Woknudeln,,,,Noudles,-
lemon,Zitrone,,,,Fruit,-
zucchini,Zucchini,,,,Vegetable,6-9
sugar,Zucker,,,,Seasoning,-
onions,Zwiebel,Zwiebeln,,,Vegetable,-
